Subject Number,Gender,Fluency,Quiz Score
100,F,Fluent,10
200,M,Fluent,9
101,F,Disfluent,8
201,M,Disfluent,1
102,F,Fluent,6
202,M,Fluent,8
103,F,Disfluent,10
203,M,Disfluent,4
104,F,Fluent,10
204,M,Fluent,9
105,F,Disfluent,6
205,M,Disfluent,7
106,F,Fluent,8
206,M,Fluent,8
107,F,Disfluent,5
207,M,Disfluent,4
108,F,Fluent,9
208,M,Fluent,7
109,F,Disfluent,7
209,M,Disfluent,7
110,F,Fluent,8
210,M,Fluent,8
111,F,Disfluent,5
211,M,Disfluent,8
112,F,Fluent,8
212,M,Fluent,8
113,F,Disfluent,9
213,M,Disfluent,6
114,F,Fluent,10
214,M,Fluent,8
115,F,Disfluent,6
215,M,Disfluent,8
116,F,Fluent,7
216,M,Fluent,8
117,F,Disfluent,7
217,M,Disfluent,3
118,F,Fluent,7
218,M,Fluent,7
119,F,Disfluent,4
219,M,Disfluent,8
120,F,Fluent,7
220,M,Fluent,9
121,F,Disfluent,7
221,M,Disfluent,7
122,F,Fluent,7
222,M,Fluent,7
123,F,Disfluent,4
223,M,Disfluent,3
124,F,Fluent,5
224,M,Fluent,8
125,F,Disfluent,9
